Name,ID_Old,BM,Type,Block,Locality,Reference,Mg,O,Ca,P,Cl,F,Fe,Si,Sn,Al,Na,K,Ni,Ba,S,Cr,Li,Pb,V,Mn,Ti,Cd,Hg,Zn,25.52
Li-Fluoride,LIF_111,,Halide,2,Unknown,ElizabethLewis1998,,,,,,73.24,,,,,,,,,,,26.76,,,,,,,,
Na-Fluoride,NAF_280,,Halide,3a,Unknown,ElizabethLewis1998,,,,,,45.25,,,,,54.75,,,,,,,,,,,,,,
Bunsenite,NIO2_106,,Oxide,2,Unknown,ElizabethLewis1998,,21.45,,,,,,,,,,,78.55,,,,,,,,,,,,
Periclase,MGO3_100,,Oxide,2,Unknown,ElizabethLewis1998,60.32,39.68,,,,,,,,,,,,,,,,,,,,,,,
Cassiterite,CAS2_103,,Oxide,2,Unknown,ElizabethLewis1998,,21.23,,,,,,,78.77,,,,,,,,,,,,,,,,
Corundum,COR4_028,BM1952_125,Oxide,3a,Synthetic,,,47.08,,,,,,,,52.92,,,,,,,,,,,,,,,
Periclase,MGO4_070,BM1952_202,Oxide,3a,Synthetic,,60.32,39.68,,,,,,,,,,,,,,,,,,,,,,,
Haematite,FEO_109,,Oxide,2,Unknown,ElizabethLewis1998,,30.07,,,,,69.93,,,,,,,,,,,,,,,,,,
Eskolaite,CRO_110,,Oxide,2,Unknown,ElizabethLewis1998,,31.55,,,,,,,,,,,,,,68.48,,,,,,,,,
Corundum,COR2_104,,Oxide,2,Unknown,ElizabethLewis1998,,47.07,,,,,,,,52.93,,,,,,,,,,,,,,,
Vanadinite,VAN_112,,Phosphate,2,Unknown,ElizabethLewis1998,,13.55,,,2.55,,,,,,,,,,,,,73.12,10.78,,,,,,
F-Apatite,APA5_101,,Phosphate,2,Unknown,ElizabethLewis1998,,39.22,39.02,18.31,0.35,3.4,,,,,,,,,,,,,,,,,,,
Anorthoclase,ORT3_067,BM1923_999,Silicate,3a,MetiyagodaChinaClayPit_AmbalangodGalle_SriLanka,,,46.13,0.31,,,,,30.26,,9.72,2.19,10.38,,,,,,,,,,,,,
Diopside,DIO2_246,,Silicate,3a,Kovdor_Russia,CTWilliams2000,10.2,43.5,18.4,,,,2.3,24.8,,0.4,0.15,,,,,,,,,0.07,0.2,,,,
Wollastonite,WOL4_097,BM68773,Silicate,3a,Perheniemi_Ithis_Findland,ChemLab_3230,,41.04,34.16,,,,0.6,23.80,,,,,,,,,,,,0.05,,,,,
Ca-Fe-Garnet,AND3_102,,Silicate,2,Unknown,ElizabethLewis1998,,44.74,21.01,,,,19.52,14.73,,,,,,,,,,,,,,,,,
Jadeite,JAD3_048,BM1913_451,Silicate,3a,Hpakan-Tawmaw-Jade-Tract_Burma,ChemLab_3184,0.06,47.6,0.04,,,,0.1,27.79,,13.33,11.28,,,,,,,,,,,,,,
Albite,ALB2_108,,Silicate,2,Unknown,ElizabethLewis1998,0.09,48.86,0.45,,,,0.05,31.81,,10.08,8.48,0.18,,,,,,,,,,,,,
Orthoclase,ORT2_105,,Silicate,2,Unknown,ElizabethLewis1998,0.02,45.75,0.02,,,,0.54,30.41,,8.99,0.24,14.04,,,,,,,,,,,,,
Albite,ALB3_001,BM1959_15,Silicate,3a,AmeliaCourtHouse_Virginia_USA,,,48.45,,,,,,31.79,,10.48,8.38,,,,,,,,,,,,,,
Wollastonite,WOL3_113,,Silicate,2,Unknown,ElizabethLewis1998,,41.15,33.92,,,,0.83,23.98,,,,,,,,,,,,0.12,,,,,
Olivine,EAG_049,BM64407,Silicate,3a,Eagle Station,Sweetman&Long1969JPET,25.756,41.86,0.0357,,,,14.38,18.092,,,,,0.0393,,,0.0205,,,,0.147,,,,,25.52
Baryte,BAR2_107,,Sulphate,2,Unknown,ElizabethLewis1998,,28.19,,,,,,,,,,,,58.81,13.0,,,,,,,,,,
Sphalerite,ZNS2_115,,Sulphide,2,Unknown,ElizabethLewis1998,,,,,,,,,,,,,,,32.91,,,,,,,0.12,0.16,67.09,
Mn-Titanate,MNT_114,,Titanate,2,Unknown,ElizabethLewis1998,,31.82,,,,,,,,,,,,,,,,,,36.42,31.76,,,,
